yearID,teamID,playerID,G_all,G_p,G_batting
2003,NYA,jeterde01,119,0,119
2003,NYA,rivermo02,64,64,0
2003,NYA,posadjo01,142,0,142
2003,NYA,willibe02,119,0,119
2003,NYA,pettian01,33,33,0
2003,NYA,matsuhi01,0,0,0
2003,NYA,giambja01,156,0,156
2003,NYA,soriaal01,156,0,156
2003,NYA,mussimi01,31,31,0
2004,NYA,jeterde01,154,0,154
2004,NYA,rivermo02,74,74,0
2004,NYA,posadjo01,137,0,137
2004,NYA,willibe02,148,0,148
2004,NYA,pettian01,0,0,0
2004,NYA,matsuhi01,162,0,162
2004,NYA,giambja01,80,0,80
2004,NYA,rodrial01,155,0,155
2004,NYA,sheffga01,154,0,154
2004,NYA,mussimi01,27,27,0
2005,NYA,jeterde01,159,0,159
2005,NYA,rivermo02,71,71,0
2005,NYA,posadjo01,142,0,142
2005,NYA,willibe02,141,0,141
2005,NYA,matsuhi01,162,0,162
2005,NYA,rodrial01,162,0,162
2005,NYA,sheffga01,154,0,154
2005,NYA,mussimi01,30,30,0
2005,NYA,giambja01,139,0,139
2006,NYA,jeterde01,154,0,154
2006,NYA,rivermo02,63,63,0
2006,NYA,posadjo01,143,0,143
2006,NYA,damonjo01,149,0,149
2006,NYA,matsuhi01,51,0,51
2006,NYA,rodrial01,154,0,154
2006,NYA,sheffga01,39,0,39
2006,NYA,mussimi01,32,32,0
2006,NYA,giambja01,139,0,139
2006,NYA,willibe02,131,0,131
2007,NYA,jeterde01,156,0,156
2007,NYA,rivermo02,67,67,0
2007,NYA,posadjo01,144,0,144
2007,NYA,damonjo01,141,0,141
2007,NYA,matsuhi01,143,0,143
2007,NYA,rodrial01,158,0,158
2007,NYA,mussimi01,28,28,0
2007,NYA,giambja01,83,0,83
2007,NYA,pettian01,34,34,0
2008,NYA,jeterde01,150,0,150
2008,NYA,rivermo02,64,64,0
2008,NYA,posadjo01,51,0,51
2008,NYA,damonjo01,143,0,143
2008,NYA,matsuhi01,93,0,93
2008,NYA,rodrial01,138,0,138
2008,NYA,mussimi01,34,34,0
2008,NYA,giambja01,145,0,145
2008,NYA,pettian01,33,33,0
2009,NYA,jeterde01,153,0,153
2009,NYA,rivermo02,66,66,0
2009,NYA,posadjo01,111,0,111
2009,NYA,damonjo01,143,0,143
2009,NYA,matsuhi01,142,0,142
2009,NYA,rodrial01,124,0,124
2009,NYA,pettian01,32,32,0
2003,BOS,ramirma02,154,0,154
2003,BOS,ortizda01,128,0,128
2003,BOS,varitja01,142,0,142
2003,BOS,damonjo01,145,0,145
2003,BOS,nixontr01,134,0,134
2003,BOS,mirabdo01,53,0,53
2003,BOS,lowedu01,33,33,0
2003,BOS,martipe02,29,29,0
2003,BOS,embreal01,21,21,0
2004,BOS,ramirma02,152,0,152
2004,BOS,ortizda01,150,0,150
2004,BOS,varitja01,137,0,137
2004,BOS,damonjo01,150,0,150
2004,BOS,schilcu01,32,32,0
2004,BOS,lowedu01,33,33,0
2004,BOS,martipe02,33,33,0
2004,BOS,nixontr01,48,0,48
2004,BOS,mirabdo01,59,0,59
2004,BOS,cabreor01,58,0,58
2004,BOS,millake01,150,0,150
2004,BOS,mientdo01,9,0,9
2004,BOS,foulkke01,72,72,0
2004,BOS,embreal01,71,71,0
2004,BOS,youkike01,72,0,72
2005,BOS,ramirma02,152,0,152
2005,BOS,ortizda01,159,0,159
2005,BOS,varitja01,133,0,133
2005,BOS,damonjo01,148,0,148
2005,BOS,schilcu01,32,11,21
2005,BOS,nixontr01,124,0,124
2005,BOS,mirabdo01,52,0,52
2005,BOS,millake01,137,0,137
2005,BOS,foulkke01,43,43,0
2005,BOS,embreal01,43,43,0
2005,BOS,youkike01,44,0,44
2005,BOS,papelbjo01,17,17,0
2007,BOS,ramirma02,133,0,133
2007,BOS,ortizda01,149,0,149
2007,BOS,varitja01,131,0,131
2007,BOS,schilcu01,24,24,0
2007,BOS,becketjo02,30,30,0
2007,BOS,lowelmi01,154,0,154
2007,BOS,drewjd01,140,0,140
2007,BOS,lugoju01,147,0,147
2007,BOS,matsuda01,32,32,0
2007,BOS,okajihi01,66,66,0
2007,BOS,youkike01,145,0,145
2007,BOS,pedrodu01,139,0,139
2007,BOS,papelbjo01,59,59,0
2007,BOS,mirabdo01,48,0,48
2008,BOS,ramirma02,100,0,100
2008,BOS,ortizda01,109,0,109
2008,BOS,varitja01,131,0,131
2008,BOS,becketjo02,27,27,0
2008,BOS,lowelmi01,113,0,113
2008,BOS,drewjd01,109,0,109
2008,BOS,lugoju01,82,0,82
2008,BOS,matsuda01,29,29,0
2008,BOS,okajihi01,64,64,0
2008,BOS,youkike01,145,0,145
2008,BOS,pedrodu01,157,0,157
2008,BOS,ellsbja01,145,0,145
2008,BOS,papelbjo01,67,67,0
2003,FLO,cabremi01,87,0,87
2003,FLO,pierrju01,162,0,162
2003,FLO,rodriiv01,144,0,144
2003,FLO,becketjo02,23,23,0
2003,FLO,lowelmi01,130,0,130
2003,FLO,pennybr01,32,32,0
2004,FLO,cabremi01,160,0,160
2004,FLO,pierrju01,162,0,162
2004,FLO,becketjo02,26,26,0
2004,FLO,lowelmi01,157,0,157
2004,FLO,pennybr01,21,21,0
2005,FLO,cabremi01,158,0,158
2005,FLO,pierrju01,162,0,162
2005,FLO,becketjo02,29,29,0
2005,FLO,lowelmi01,150,0,150
2006,FLO,cabremi01,158,0,158
2006,FLO,willijo03,142,0,142
