playerID,birthYear,nameFirst,nameLast,nameGiven,bats,throws,debut,finalGame,bbrefID,retroID
jeterde01,1974,Derek,Jeter,Derek Sanderson,R,R,1995-05-29,2014-09-28,jeterde01,jeted001
rivermo02,1969,Mariano,Rivera,Mariano,R,R,1995-05-23,2013-09-26,rivermo02,rivem002
posadjo01,1971,Jorge,Posada,Jorge,B,R,1995-09-04,2011-09-28,posadjo01,posaj001
willibe02,1968,Bernie,Williams,Bernabe,B,R,1991-07-07,2006-09-30,willibe02,willb001
pettian01,1972,Andy,Pettitte,Andrew Eugene,L,L,1995-04-29,2013-09-28,pettian01,petta001
rodrial01,1975,Alex,Rodriguez,Alexander Emmanuel,R,R,1994-07-08,2016-08-12,rodrial01,rodra001
matsuhi01,1974,Hideki,Matsui,Hideki,L,R,2003-03-31,2012-09-26,matsuhi01,matsh001
giambja01,1971,Jason,Giambi,Jason Gilbert,L,R,1995-05-08,2014-09-26,giambja01,giamj001
soriaal01,1976,Alfonso,Soriano,Alfonso Guilleard,R,R,1999-09-14,2014-07-04,soriaal01,soria001
sheffga01,1968,Gary,Sheffield,Gary Antonian,R,R,1988-09-03,2009-09-27,sheffga01,sheff001
mussimi01,1968,Mike,Mussina,Michael Cole,R,R,1991-08-04,2008-09-28,mussimi01,mussm001
damonjo01,1973,Johnny,Damon,Johnny David,L,L,1995-08-12,2012-04-15,damonjo01,damoj001
ramirma02,1972,Manny,Ramirez,Manuel Aristides,R,R,1993-09-02,2011-04-08,ramirma02,ramim002
ortizda01,1975,David,Ortiz,David Americo,L,L,1997-09-02,2016-10-10,ortizda01,ortid001
varitja01,1972,Jason,Varitek,Jason Andrew,B,R,1997-09-24,2011-09-28,varitja01,varij001
schilcu01,1966,Curt,Schilling,Curtis Montague,R,R,1988-09-07,2007-09-30,schilcu01,schic002
lowedu01,1973,Derek,Lowe,Derek Christopher,R,R,1997-04-26,2013-08-13,lowedu01,lowed001
martipe02,1971,Pedro,Martinez,Pedro Jaime,R,R,1992-09-24,2009-09-30,martipe02,martp002
becketjo02,1980,Josh,Beckett,Joshua Patrick,R,R,2001-09-04,2014-09-25,becketjo02,beckj002
lowelmi01,1974,Mike,Lowell,Michael Averett,R,R,1998-09-13,2010-10-02,lowelmi01,lowem001
cabremi01,1983,Miguel,Cabrera,Jose Miguel,R,R,2003-06-20,2024-09-27,cabremi01,cabrm001
pierrju01,1977,Juan,Pierre,Juan D'Vaughn,L,L,2000-08-07,2013-09-29,pierrju01,pierj001
rodriiv01,1971,Ivan,Rodriguez,Ivan Torres,R,R,1991-06-20,2011-09-28,rodriiv01,rodri001
pennybr01,1978,Brad,Penny,Bradley Wayne,R,R,2000-04-07,2014-09-25,pennybr01,pennb001
willijo03,1974,Josh,Willingham,Joshua David,R,R,2004-07-06,2014-09-28,willijo03,willj003
drewjd01,1975,J.D.,Drew,David Jonathan,L,R,1998-09-08,2011-10-29,drewjd01,drewj001
lugoju01,1975,Julio,Lugo,Julio Cesar,R,R,2000-04-29,2011-09-09,lugoju01,lugoj001
matsuda01,1980,Daisuke,Matsuzaka,Daisuke,R,R,2007-04-05,2014-08-19,matsuda01,matsd001
okajihi01,1975,Hideki,Okajima,Hideki,L,L,2007-04-02,2013-09-29,okajihi01,okajh001
youkike01,1979,Kevin,Youkilis,Kevin Edmund,R,R,2004-05-15,2013-08-08,youkike01,youkk001
pedrodu01,1983,Dustin,Pedroia,Dustin Luis,R,R,2006-08-22,2019-04-09,pedrodu01,pedrd001
ellsbja01,1983,Jacoby,Ellsbury,Jacoby McCabe,L,L,2007-06-30,2017-10-09,ellsbja01,ellsj001
papelbjo01,1980,Jonathan,Papelbon,Jonathan Robert,R,R,2005-07-31,2016-09-28,papelbjo01,papej001
cabreor01,1973,Orlando,Cabrera,Orlando Luis,R,R,1997-09-03,2011-10-04,cabreor01,cabro001
millake01,1971,Kevin,Millar,Kevin Charles,R,R,1998-08-11,2009-10-04,millake01,millk001
mientdo01,1973,Doug,Mientkiewicz,Douglas Andrew,L,R,1998-08-12,2009-10-04,mientdo01,mientdo01
foulkke01,1973,Keith,Foulke,Keith Charles,R,R,1997-08-12,2008-09-26,foulkke01,foulk001
embreal01,1970,Alan,Embree,Alan Duane,L,L,1992-09-14,2009-08-28,embreal01,embra001
nixontr01,1974,Trot,Nixon,Christopher Trotman,L,L,1996-09-21,2008-09-21,nixontr01,nixot001
mirabdo01,1971,Doug,Mirabelli,Douglas Anthony,R,R,1996-04-23,2007-08-25,mirabdo01,mirad001
