yearID,lgID,teamID,franchID,name
2003,AL,NYA,NYY,New York Yankees
2004,AL,NYA,NYY,New York Yankees
2005,AL,NYA,NYY,New York Yankees
2006,AL,NYA,NYY,New York Yankees
2007,AL,NYA,NYY,New York Yankees
2008,AL,NYA,NYY,New York Yankees
2009,AL,NYA,NYY,New York Yankees
2003,AL,BOS,BOS,Boston Red Sox
2004,AL,BOS,BOS,Boston Red Sox
2005,AL,BOS,BOS,Boston Red Sox
2007,AL,BOS,BOS,Boston Red Sox
2008,AL,BOS,BOS,Boston Red Sox
2003,NL,FLO,FLA,Florida Marlins
2004,NL,FLO,FLA,Florida Marlins
2005,NL,FLO,FLA,Florida Marlins
2006,NL,FLO,FLA,Florida Marlins
